Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.012447820000033971,20,0,0,796.6140277799807,12000,inf,830.8774416229999
SGM,0.0,0.0,20,0.95,False,5.0,0.00917892499910522,20,0,0,788.166790926005,12000,inf,822.1290706200002
SGM,0.65,5000.0,20,0.95,False,5.0,0.009147553998900548,20,0,0,477.52968949696105,6807,637.7894441510002,496.91091585299955
SGM,0.85,10000.0,20,0.95,False,5.0,0.009243285001502954,20,0,0,376.2238617029998,5110,562.0885245090003,390.842352611
SGM,0.75,15000.0,20,0.95,False,5.0,0.009230496000782296,20,0,0,430.51336592497864,5991,539.7845469219992,447.6826117800001
SGM,0.85,20000.0,20,0.95,False,5.0,0.009843166000791825,20,0,0,374.47173872998064,5046,553.0806120070001,388.95270929599974
SGM,1.0,25000.0,20,0.95,False,5.0,0.008487328999763122,20,0,0,306.8571348919704,3898,507.99471019000066,318.05622147899976
SGM,0.95,30000.0,20,0.95,False,5.0,0.01007443299931765,20,0,0,335.215436129969,4185,543.4562859329999,347.67215922499963
SGM,1.0,35000.0,20,0.95,False,5.0,0.009713665000163019,20,0,0,316.2274666708854,3908,529.0612869690012,327.7793532300002
SGM,0.95,40000.0,20,0.95,False,5.0,0.009640474005209398,20,0,0,327.06329742199887,4114,498.72688473200105,339.1122372049995
SGM,0.95,45000.0,20,0.95,False,5.0,0.009124800000790856,20,0,0,335.5448698569089,4269,496.84860786900026,348.03545367399965
SGM,1.0,50000.0,20,0.95,False,5.0,0.009059809997779666,20,0,0,295.51646078998965,3653,530.895814032001,306.2082777830001
