Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.00869559699981437,20,0,0,658.5428260259871,12000,inf,686.6200455269998
SGM,0.05,0.0,20,0.95,False,5.0,0.006177206999382179,20,0,0,637.2028219950053,11609,inf,664.1769432719998
SGM,0.4,5000.0,20,0.95,False,5.0,0.00675452499945095,20,0,0,491.09356904802917,8720,567.1968122100002,511.64859030299976
SGM,0.7,10000.0,20,0.95,False,5.0,0.005753602002187108,20,0,0,369.57512449596834,6555,516.613576572,384.054285878
SGM,0.95,15000.0,20,0.95,False,5.0,0.006343362000734487,20,0,0,268.2761169209998,4666,402.5852026729999,277.848680739
SGM,0.85,20000.0,20,0.95,False,5.0,0.005917885001508694,20,0,0,281.42684323000685,5062,356.67778611799986,291.83707042100013
SGM,0.95,25000.0,20,0.95,False,5.0,0.006111694999162864,20,0,0,243.0914388109677,4206,367.82240478600033,251.7129682120003
SGM,0.95,30000.0,20,0.95,False,5.0,0.005744123001022672,20,0,0,270.60359299800166,4843,347.5412255199999,280.4354857240005
SGM,1.0,35000.0,20,0.95,False,5.0,0.006501738001134072,20,0,0,234.5274541939716,3985,356.2450953279995,242.71656067000004
SGM,1.0,40000.0,20,0.95,False,5.0,0.005582800997217419,20,0,0,231.42625177402988,3948,355.09915677699973,239.58343720599987
SGM,1.0,45000.0,20,0.95,False,5.0,0.005821419001222239,20,0,0,229.65924462098155,3918,370.5845664970002,237.75202782199995
SGM,1.0,50000.0,20,0.95,False,5.0,0.005492730000696611,20,0,0,218.17915850797,3892,350.48125481900024,225.45736684300027
